ANNO;PROV;COMUNE;TOT_INC;TOT_INC_MORTALI;TOT_FERITI;TOT_MORTI;TOT_VEIC_COINVOLTI;TOT_VEIC_CONDUC_IGNOTO;TOT_CONDUC;CONDUC_FEMMINE;CONDUC_FERITI;CONDUC_MORTI_ENTRO24h;CONDUC_IGNOTI;CONDUC_ETA_0-14_INC;CONDUC_ETA_15-19_INC;CONDUC_ETA_20-64_INC;CONDUC_ETA_65+_INC;CONDUC_ETA_0-14_FERITI;CONDUC_ETA_15-19_FERITI;CONDUC_ETÀ_20-64_FERITI;CONDUC_ETA_65+_FERITI;CONDUC_ETA_0-14_MORTI;CONDUC_ETA_15-19_MORTI;CONDUC_ETA_20-64_MORTI;CONDUC_ETA_65+_MORTI;PASSEGGERI_FERITI;PASSEGGERI_MORTI;PEDONI_FERITI;PEDONI_MORTI;STRADE_URBANE_INC;STRADE_URBANE_FERITI;STRADE_URBANE_MORTI;STRADE_EXTRAURB_INC;STRADE_EXTRAURB_FERITI;STRADE_EXTRAURB_MORTI;AUTOSTR_INC;AUTOSTR_FERITI;AUTOSTR_MORTI;INC_TRA_VEIC_IN_MARCIA;INC_TRA_VEIC_E_PEDONE;INC_TRA_VEIC_ISOLATI;WEEKEND_INC;FERIALI_INC;NOTTE_INC;GIORNO_INC;ORE_07-09_INC;ORE_17-19_INC;SERENO_INC;NEBBIA_INC;PIOGGIA-NEVE_INC;VEIC_COINVOLTI_AUTOVET_(PRIV_E_PUB);VEIC_COINVOLTI_AUTOCAR_E_SIMILI;VEIC_COINVOLTI_MOTOCICLI;VEIC_COINVOLTI_VELOCIPEDI
2000;MANTOVA;SOLFERINO;5;0;8;0;8;0;8;0;6;2;0;0;0;8;0;0;0;6;0;0;0;0;0;1;0;1;0;0;0;0;5;8;0;0;0;0;3;1;1;1;4;0;4;1;1;2;1;1;7;0;0;1
2000;MANTOVA;SUSTINENTE;8;0;10;0;14;0;14;3;8;6;0;0;0;12;1;0;0;7;0;0;0;0;0;2;0;0;0;5;6;0;3;4;0;0;0;0;3;0;5;1;7;2;6;2;2;4;1;3;11;1;1;1
2000;MANTOVA;SUZZARA;111;1;152;1;215;2;213;46;123;89;0;1;12;182;10;1;11;102;6;0;0;1;0;26;0;3;0;82;116;0;28;35;0;0;0;0;81;2;28;29;82;22;89;13;21;88;6;12;144;19;39;8
2000;MANTOVA;VIADANA;93;4;121;5;170;3;167;36;91;74;0;1;17;128;13;1;12;69;7;0;0;2;0;23;3;7;0;72;93;0;18;23;5;0;0;0;59;7;27;31;62;23;70;9;22;65;1;9;120;9;29;9
2000;MANTOVA;VILLA POMA;6;0;8;0;10;0;10;2;6;4;0;0;1;7;1;0;0;4;1;0;0;0;0;2;0;0;0;5;7;0;1;1;0;0;0;0;4;0;2;1;5;1;5;1;1;3;0;2;4;2;3;1
2000;MANTOVA;VILLIMPENTA;2;0;2;0;4;0;4;0;2;2;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;2;0;0;1;1;0;2;0;0;2;0;0;3;1;0;0
2000;MANTOVA;VIRGILIO;40;2;48;2;75;1;74;14;37;36;0;0;0;67;6;0;0;31;6;0;0;1;0;11;1;0;0;29;34;2;7;8;0;4;6;0;29;0;11;12;28;9;31;2;10;27;2;7;56;7;8;3
2000;MANTOVA;VOLTA MANTOVANA;17;1;27;1;30;0;30;5;20;10;0;0;1;26;3;0;1;17;2;0;0;0;0;6;1;1;0;5;7;0;12;20;1;0;0;0;13;1;3;7;10;4;13;2;2;12;0;4;18;6;4;2
2000;MILANO;ABBIATEGRASSO;159;3;235;4;294;3;291;78;168;120;0;4;22;245;18;4;18;134;12;0;0;3;0;59;1;8;0;129;185;3;29;49;1;0;0;0;111;8;40;46;113;24;135;15;44;111;7;29;210;10;51;20
2000;MILANO;ALBAIRATE;34;0;49;0;69;0;68;8;37;31;1;0;3;59;6;0;2;31;4;0;0;0;0;10;0;2;0;16;16;0;18;33;0;0;0;0;29;2;3;7;27;5;29;8;12;23;3;3;49;7;9;2
2000;MILANO;ARCONATE;14;0;16;0;27;0;27;8;13;14;0;0;1;26;0;0;0;13;0;0;0;0;0;3;0;0;0;11;12;0;3;4;0;0;0;0;13;0;1;4;10;2;12;1;3;12;0;0;19;2;3;2
2000;MILANO;ARESE;60;0;83;0;119;4;115;29;64;51;0;2;8;91;12;2;6;51;5;0;0;0;0;17;0;2;0;51;70;0;3;5;0;6;8;0;51;2;7;12;48;9;51;9;21;47;1;11;88;4;19;4
2000;MILANO;ARLUNO;61;2;88;2;116;1;115;19;57;58;0;0;6;103;5;0;4;52;1;0;0;0;0;27;0;4;2;28;36;0;19;30;1;14;22;1;41;5;15;16;45;10;51;13;9;42;0;12;79;17;14;5
2000;MILANO;ASSAGO;93;4;122;6;192;8;183;31;87;93;1;0;3;168;9;0;2;79;6;0;0;2;1;30;3;5;0;47;60;0;1;1;0;44;60;6;67;3;23;19;74;15;78;15;23;69;1;17;136;21;18;6
2000;MILANO;BAREGGIO;51;0;82;0;109;5;103;27;57;46;1;2;7;88;6;2;6;48;1;0;0;0;0;20;0;4;0;47;75;0;4;7;0;0;0;0;40;4;7;14;37;2;49;6;15;41;1;6;74;8;17;4
2000;MILANO;BASIANO;7;1;27;2;25;7;18;1;7;10;0;0;0;18;0;0;0;7;0;0;0;1;0;17;1;0;0;1;1;0;0;0;0;6;26;2;6;0;1;3;4;3;4;0;1;4;0;0;13;2;1;0
2000;MILANO;BASIGLIO;12;0;19;0;21;0;21;3;13;8;0;0;1;19;1;0;1;11;1;0;0;0;0;4;0;2;0;12;19;0;0;0;0;0;0;0;8;2;2;1;11;2;10;3;4;8;0;4;14;2;5;0
2000;MILANO;BERNATE TICINO;18;1;28;1;36;0;35;2;17;17;1;0;0;31;3;0;0;15;2;0;0;0;0;11;0;0;0;3;3;0;4;5;0;11;20;1;12;0;6;4;14;6;12;1;3;10;0;3;26;5;2;2
2000;MILANO;BESATE;3;0;6;0;3;0;3;1;1;2;0;0;0;3;0;0;0;1;0;0;0;0;0;2;0;3;0;3;6;0;0;0;0;0;0;0;0;2;1;1;2;1;2;0;2;2;0;1;2;0;1;0
2000;MILANO;COLTURANO;3;0;8;0;5;0;5;1;3;2;0;0;1;3;1;0;0;2;1;0;0;0;0;4;0;1;0;0;0;0;3;8;0;0;0;0;2;1;0;1;2;3;0;0;0;2;1;0;5;0;0;0
2000;MILANO;BINASCO;65;1;87;1;130;0;130;20;62;68;0;0;2;117;8;0;2;56;4;0;0;0;0;24;1;1;0;20;29;0;41;50;1;4;8;0;57;1;7;19;46;11;54;10;10;53;0;9;103;11;7;7
2000;MILANO;BOFFALORA SOPRA TICINO;22;1;34;1;42;0;42;9;23;18;0;0;0;41;1;0;0;22;1;0;0;1;0;10;0;1;0;13;24;0;8;9;1;0;0;0;17;1;4;7;15;3;19;1;8;15;0;5;31;4;6;1
2000;MILANO;BOLLATE;217;3;300;4;447;18;429;106;210;217;0;1;27;366;23;0;23;176;11;0;0;2;0;78;1;12;1;202;269;3;6;7;0;9;24;1;174;12;31;41;176;9;208;38;73;177;0;35;293;40;76;17
2000;MILANO;BRESSO;79;2;109;2;160;2;158;34;80;77;0;2;13;129;9;2;9;62;6;0;0;1;0;23;1;6;0;76;104;1;0;0;0;3;5;1;66;6;7;16;63;7;72;13;22;60;0;15;108;8;28;12
2000;MILANO;BUBBIANO;4;0;9;0;8;0;8;1;4;4;0;0;1;6;0;0;1;3;0;0;0;0;0;5;0;0;0;3;8;0;1;1;0;0;0;0;4;0;0;1;3;2;2;0;1;2;0;1;7;1;0;0
2000;MILANO;BUCCINASCO;101;2;126;2;209;2;207;54;101;105;0;2;11;177;12;2;9;84;5;0;0;1;0;21;0;4;1;95;118;2;0;0;0;6;8;0;85;4;12;16;85;3;98;20;24;83;2;12;141;23;30;11
2000;MILANO;BUSCATE;13;2;18;5;26;0;26;8;13;11;0;1;1;22;2;1;1;10;1;0;0;2;0;5;3;0;0;9;11;1;4;7;4;0;0;0;12;0;1;4;9;2;11;3;5;10;0;3;20;1;4;1
2000;MILANO;BUSSERO;14;0;21;0;26;0;26;6;15;11;0;0;4;21;1;0;4;11;0;0;0;0;0;5;0;1;0;14;21;0;0;0;0;0;0;0;12;1;1;3;11;1;13;6;1;10;0;3;16;2;6;2
2000;MILANO;BUSTO GAROLFO;31;0;45;0;59;0;59;17;37;22;0;1;4;51;2;1;4;30;1;0;0;0;0;7;0;1;0;26;39;0;5;6;0;0;0;0;27;1;3;4;27;3;28;4;9;20;0;8;39;6;11;3
